productSKU,productName,price
CPUI0525,"CPU Intel Core i5-12400F (Tray, không Fan)",2.549.000 ₫
CSXM0168,Vỏ case XIGMATEK SKY II 3F - EN44182 (ATX/Mid Tower/Màu Đen/3 fan ARGB),699.000 ₫
FAND0507,Tản Nhiệt Khí Jonsbo CR-1000 EVO Color Black,379.000 ₫
HDKX0003,SSD KIOXIA Exceria G2 500GB M.2 2280 PCIe NVMe Gen 3x4 (Đọc 2100MB/s Ghi 1700MB/s)-(LRC20Z500GG8),969.000 ₫
MBAS0700,Mainboard Asus PRIME H610M-K D4,1.829.000 ₫
PWAI0001,Nguồn máy tính AIGO VK550 - 500W (Màu Đen),569.000 ₫
RAHE0001,RAM Desktop HIKSEMI Future RGB (HSC416U32C4) 16GB (1x16GB) - DDR4,919.000 ₫
VGMS0537,VGA MSI RTX 3050 VENTUS 2X E 6G OC,4.699.000 ₫
CPUI0523,"CPU Intel Core i3-12100F (Tray, không Fan)",1.549.000 ₫
CSKE0049,Vỏ case KENOO ESPORT MK100 - Đen (mATX / Mid Tower),349.000 ₫
FAND0950,Tản nhiệt khí JUNGLE LEOPARD K400 đen (1700/2011),279.000 ₫
PWAN0085,Nguồn ANTEC Meta V550 EC - 550W,629.000 ₫
RAHE0006,RAM Desktop HIKSEMI Future (HSC408U32C2 ) 8GB (1x8GB) - DDR4 3200MHz,469.000 ₫
CPUA0260,"CPU AMD Ryzen 5 4600G (3.7 GHz turbo upto 4.2GHz / 11MB / 6 Cores, 12 Threads / 65W / Socket AM4)",2.699.000 ₫
CSHA0009,Vỏ Case máy tính HACOM PREMIUM (ATX/Mid Tower/Màu Đen/3 Fan),579.000 ₫
HDMS0011,Ổ Cứng SSD MSI SPATIUM S270 480GB 2.5 inch SATA III (Đọc 500MB/s - Ghi 450MB/s),899.000 ₫
MBMS0491,Mainboard MSI A520M-A PRO,1.429.000 ₫
RALX0007,RAM Desktop LEXAR (LD4BU008G-R3200GSXG) 8GB (1x8GB) DDR4 3200MHz,579.000 ₫
VGMS0409,VGA MSI RTX 3060 VENTUS 2X OC 12 GB ,7.749.000 ₫
PWMI0005,Nguồn máy tính MSI MAG A650BN 650W ( 80 Plus Bronze/Màu Đen),1.349.000 ₫
CPUI0559,"CPU Intel Core i7-14700F TRAY NEW (Up to 5.4GHz, 20 Nhân 28 Luồng, 33MB",7.999.000 ₫
MBAS0774,Mainboard ASUS TUF GAMING B760M-E DDR4,3.099.000 ₫
VGAS0796,VGA Asus DUAL RTX 4060-O8G-V2,8.799.000 ₫
PWAS0014,Nguồn  ASUS TUF GAMING 650W Bronze  ( Màu Đen/80 Plus Bronze ),1.449.000 ₫
CSVR0060,Vỏ Case VITRA CERES V305-G 3FRGB BLACK (Mid Tower/Màu Đen/ Kèm sẵn 3 Fan RGB),559.000 ₫
FAND0216,Tản nhiệt nước Asus TUF Gaming LC II 240 ARGB Black,1.799.000 ₫
CPUI0518,"CPU Intel Core i5-14600KF (Up to 5.3Ghz, 14 NHÂN 20 LUỒNG, 24MB CACHE, 125W) - Socket Intel LGA 1700/RAPTOR LAKE",5.999.000 ₫
RAAP0067,RAM Desktop APCER OC Panther-Golden (AH4U16G32C28Y7GAA-1) 16GB (1x16GB) DDR4 3200MHz,819.000 ₫
